hour,start_station_id,ride_count
4,5953.03,1
2,3975.02,2
5,6090.03,1
5,8095.06,1
1,7039.03,1
12,8107.1,1
23,6116.03,1
7,3178.02,1
3,3845.05,1
5,3845.05,2
4,8000.02,1
19,4014.01,1
5,6554.05,1
2,3169.07,1
3,4470.09,2
23,7165.01,1
4,6131.12,1
11,8715.01,1
2,5743.02,2
22,8715.01,1
11,6276.02,2
2,6873.01,1
7,7870.02,1
5,6151.03,2
23,8415.01,1
3,3439.03,2
2,4889.06,1
21,6113.07,2
2,8732.04,1
22,8841.03,1
20,8507.02,1
3,6185.04,1
2,6092.01,1
12,8866.01,1
2,8456.05,1
2,8579.03,1
1,8387.03,1
11,8182.02,1
16,3341.06,1
12,8664.06,1
10,3356.07,1
11,4129.1,3
9,4129.1,3
8,4129.1,1
23,3125.09,1
1,8511.08,1
0,8381.04,1
18,8859.03,1
22,8859.03,3
23,8325.12,2
0,4990.02,1
8,3318.05,1
15,4203.04,1
2,4086.06,1
21,3327.01,1
21,4798.1,2
20,4798.1,1
14,8778.01,1
4,5198.04,1
12,8392.02,1
3,8392.02,1
4,6076.02,1
0,7759.08,2
2,4927.04,4
0,3038.08,1
19,8756.07,1
19,6913.03,1
1,8756.07,1
7,6502.01,1
18,7032.02,1
4,2861.02,1
4,7210.07,1
23,8615.01,1
13,6086.02,1
4,3555.04,1
6,6300.04,1
0,8416.1,2
6,4775.01,1
10,5360.02,1
6,6772.11,10
21,8692.04,1
1,4243.01,1
5,4285.09,1
3,7511.19,1
12,4013.08,1
5,7170.04,1
4,6688.01,1
6,6134.03,1
22,8632.07,3
2,7039.03,1
8,8699.01,1
4,3931.09,1
1,6536.02,1
3,7932.1,1
6,7940.04,1
6,7970.05,2
22,8025.01,1
10,3286.07,5
3,6365.1,1
2,4634.02,1
10,8531.05,1
0,5656.03,1
1,8590.01,1
4,4683.02,2
5,3495.08,3
3,8096.02,1
2,6361.03,3
5,4735.03,1
5,4677.01,1
18,8539.02,1
3,8005.08,1
5,7983.02,1
6,8500.01,1
5,8323.05,6
5,8500.01,2
6,8462.09,1
21,8631.03,2
17,8407.03,1
6,8835.05,1
13,6960.1,1
6,8428.04,2
4,7767.06,1
7,3576.1,1
3,4129.1,2
4,4550.05,2
7,8745.01,1
9,6143.01,1
0,6019.04,1
5,8362.02,2
2,8307.05,1
5,4362.04,1
5,8187.04,3
22,7066.01,1
5,3739.06,1
23,5806.01,1
5,8416.1,1
6,4985.09,1
8,6423.03,2
0,7881.09,1
12,7983.04,1
6,8111.04,2
2,6183.03,2
5,4096.08,7
5,4853.06,1
12,3373.01,1
12,5764.02,1
13,3388.03,1
0,3253.01,1
1,7835.1,1
23,6490.02,1
14,5611.04,1
3,8293.12,1
12,8061.01,1
1,5001.08,1
5,7613.04,5
23,7759.08,1
15,7613.04,1
0,8290.01,2
6,3007.05,1
2,8252.03,1
4,5219.05,1
0,7751.05,1
7,3460.01,1
9,8065.13,1
4,8353.09,1
5,5073.07,1
6,3460.02,1
6,6374.05,1
9,3229.07,1
5,3229.07,6
5,3359.03,1
23,7962.01,2
4,6039.06,2
22,7867.04,1
15,6426.05,1
3,7023.09,2
4,7783.18,1
6,4080.01,1
4,8632.07,1
2,5368.03,3
3,6782.01,2
0,6242.10,1
10,8209.01,3
3,7152.10,1
6,6242.10,1
0,8776.02,1
19,8665.02,1
3,7886.02,1
5,7154.10,1
2,6700.14,1
14,8647.10,1
13,8647.10,3
3,5406.04,1
23,6143.05,1
18,4137.10,1
4,4184.07,1
22,4862.07,1
0,7060.02,1
